Authors,Title,Publication,Year,Link,Type,Award,Show,VideoLink
Timothy Neate; Norberto Degara; Andy Hunt; Frederik Nagel,A Generic Evaluation Model for Auditory Feedback in Complex Visual Searches,In Proceedings of the International Conference on Auditory Display (ICAD),2014,../papers/genericEvaluationAuditorySearch.pdf,Conference,1; Best Student Paper Award,,
"Degara, Norberto; Kuppanda, Thimmaiah; Neate, Timothy; Yang, Jiajun; Torres, Andres; ",A Reproducible Sonification for Virtual Navigation,The IEEE Virtual Reality Conference,2014,../papers/virtualNavigation.pdf,Conference,,,
"Neate, Timothy; Hunt, Andy; ",Interactive Spatial Auditory Display of Graphical Data,Interactive Sonification Workshop,2013,../papers/interactiveSpatial.pdf,Conference,,,
"Neate, Timothy; Jones, Matt; Evans, Michael; ",Mediating attention for second screen companion content,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2015,../papers/mediatingAttention.pdf,Conference,2; Best Paper Honourable Mention,,https://youtu.be/uXxo75QxOw0?si=L97Ig1D34wfXY_nw
"Neate, Timothy; Jones, Matt; Evans, Michael; ",Designing attention for multi-screen TV experiences,Proceedings of the British HCI Conference,2015,../papers/designingAttention.pdf,Poster,,,
"Neate, Timothy; Jones, Matt; Evans, Michael; ",Future Media: The Role of HCI in Broadcast,Seventh York Doctoral Symposium on Computer Science & Electronics,2014,../papers/futureMedia.pdf,Poster,,No,
"Neate, Timothy; Evans, Michael; Jones, Matt; ",Designing Visual Complexity for Dual-screen Media,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2016,../papers/designingComplexity.pdf,Conference,,,https://www.youtube.com/watch?v=-4H4I__9SJY&t=4s
"Neate, Timothy; Jones, Matt; Evans, Michael; ",Interdevice media: choreographing content to maximize viewer engagement,IEEE Computer,2016,https://ieeexplore.ieee.org/document/7756283,Journal,,,
"Neate, Timothy; Jones, Matt; Evans, Michael; ",Cross-device media: a review of second screening and multi-device television,Personal and Ubiquitous Computing,2017,https://link.springer.com/article/10.1007/s00779-017-1016-2,Journal,,,
"Neate, Timothy; Evans, Michael; Jones, Matt; ",Enhancing interaction with dual-screen television through display commonalities,Proceedings of the ACM International Conference on Interactive Experiences for TV and Online Video (IMX),2017,../papers/displayCommonalities.pdf,Conference,,,https://www.youtube.com/watch?v=I3GgCwcjl1Q
"Tokuda, Yutaka; Moya, Jose Luis Berna; Memoli, Gianluca; Neate, Timothy; Sahoo, Deepak Ranjan; Robinson, Simon; Pearson, Jennifer; Jones, Matt; Subramanian, Sriram; ",Programmable liquid matter: 2D shape deformation of highly conductive liquid metals in a dynamic electric field,Proceedings of the ACM International Conference on Interactive Surfaces and Spaces,2017,../papers/programmableLiquidMatter.pdf,Conference,,,https://www.youtube.com/watch?v=nSFwbCjnyY4
"Sahoo, Deepak Ranjan; Neate, Timothy; Tokuda, Yutaka; Pearson, Jennifer; Robinson, Simon; Subramanian, Sriram; Jones, Matt; ",Tangible drops: a visio-tactile display using actuated liquid-metal droplets,Proceedings of the CHI conference on human factors in computing systems,2018,../papers/tangibleDrops.pdf,Conference,,,https://www.youtube.com/watch?v=nG5YW8TmY1c&t=10s
"Roper, Abi; Grellmann, Brian; Neate, Timothy; Marshall, Jane; Wilson, Stephanie; ",Social networking sites: barriers and facilitators to access for people with aphasia,Aphasiology,2018,https://openaccess.city.ac.uk/id/eprint/20238/1/Social%20networking%20sites%20barriers%20and%20facilitators%20to%20access%20for%20people%20with%20aphasia.pdf,Journal,,No,
"Roper, Abi; Davey, Ian; Wilson, Stephanie; Neate, Timothy; Marshall, Jane; Grellmann, Brian; ",Usability testing-an aphasia perspective,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2018,https://openaccess.city.ac.uk/id/eprint/20242/1/Roper%20et%20al%202018%20Experience%20Report%20Final.pdf,Conference,,,
"Grellmann, Brian; Neate, Timothy; Roper, Abi; Wilson, Stephanie; Marshall, Jane; ",Investigating mobile accessibility guidance for people with aphasia,Proceedings of the International ACM SIGACCESS Conference on Computers and Accessibility (ASSETS),2018,https://openaccess.city.ac.uk/id/eprint/20620/1/pd039-grellmann.pdf,Conference,,,
"Goguey, Alix; Steer, Cameron; Lucero, Andres; Nigay, Laurence; Ranjan Sahoo, D; Coutrix, Celine; Roudaut, Anne; Subramanian, Sriram; Tokuda, Yutaka; Neate, Timothy; ",PickCells: a physically reconfigurable cell-composed touchscreen,Proceedings of the ACM Conference on Human Factors in Computing Systems (CHI),2019,https://openaccess.city.ac.uk/id/eprint/21273/7/pickcells-chi2019.pdf,Conference,,,https://www.youtube.com/watch?v=8UH2t_B7RDM&t=3s
"Neate, Timothy; Roper, Abi; Wilson, Stephanie; Marshall, Jane; ",Empowering expression for users with aphasia through constrained creativity,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2019,https://openaccess.city.ac.uk/id/eprint/21272/1/constrained-creativity-chi2019.pdf,Conference,2; Best Paper Honourable Mention and BT Tech4Good Finalist,,https://www.youtube.com/watch?v=UdDXv4xgAvM
"Neate, Timothy; Bourazeri, K; Roper, Abi; Stumpf, Simone; Wilson, Stephanie; ",Co-Created Personas: Engaging and Empowering Users with Diverse Needs Within the Design Process,Proceedings of ACM Conference on Human Factors in Computing Systems (CHI),2019,https://openaccess.city.ac.uk/id/eprint/21271/1/co-created-personas-chi-2019.pdf,Conference,2; Best Paper Honourable Mention,,https://www.youtube.com/watch?v=o-0HR29anE8
